date,open,high,low,close,volume
2022-07-05,256.16,262.98,254.74,262.85,12509861
2022-07-06,263.75,267.99,262.4,266.21,12797599
2022-07-07,265.17,269.06,265.02,268.4,11558872
2022-07-08,264.63,268.1,263.28,267.66,11587512
2022-07-11,265.23,266.53,262.18,264.51,9805907
2022-07-12,266.0,266.0,252.04,253.67,23077940
2022-07-13,249.9,253.55,248.11,252.72,17435624
2022-07-14,250.67,255.14,245.94,254.08,15020939
2022-07-15,255.72,260.37,254.77,256.72,16357778
2022-07-18,259.6,260.84,253.3,254.25,12172722
2022-07-19,257.56,259.72,253.68,259.53,12518756
2022-07-20,259.89,264.87,258.91,262.27,13461177
2022-07-21,259.85,264.89,257.03,264.84,12737076
2022-07-22,265.24,265.41,259.07,260.36,12869531
2022-07-25,261.06,261.5,256.81,258.83,11029054
2022-07-26,259.98,259.98,249.57,251.9,20100700
2022-07-27,261.15,270.05,258.85,268.74,28315761
2022-07-28,269.67,277.84,267.87,276.41,22487331
2022-07-29,277.66,282.0,276.63,280.74,18036475
2022-08-01,277.93,281.28,275.84,278.01,12857656
2022-08-02,275.99,277.89,272.38,274.82,13439292
2022-08-03,276.94,283.5,276.61,282.47,12807216
2022-08-04,281.9,283.8,280.16,283.65,10589798
2022-08-05,279.2,283.65,278.68,282.91,9401459
2022-08-08,284.15,285.92,279.32,280.32,10647317
2022-08-09,279.7,283.08,277.61,282.3,12080516
2022-08-10,288.17,289.81,286.94,289.16,13940640
2022-08-11,290.88,291.21,286.51,287.02,11532395
2022-08-12,288.57,291.91,286.94,291.91,10122475
2022-08-15,290.83,294.18,290.11,293.47,8816481
2022-08-16,292.03,294.04,290.42,292.71,9192533
2022-08-17,289.72,293.35,289.47,291.32,9950096
2022-08-18,290.43,291.91,289.08,290.17,8887885
2022-08-19,288.9,289.25,285.56,286.15,10285437
2022-08-22,282.07,282.46,277.22,277.75,12091448
2022-08-23,276.55,278.86,275.4,276.44,9667011
2022-08-24,275.78,277.23,275.11,275.79,9411918
2022-08-25,277.41,279.02,274.52,278.85,8888746
2022-08-26,278.86,280.34,267.98,268.09,11910767
2022-08-29,265.88,267.4,263.85,265.23,10336163
2022-08-30,266.72,267.05,260.66,262.97,11154753
2022-08-31,265.39,267.11,261.33,261.47,11044760
2022-09-01,258.87,260.89,255.41,260.4,13707995
2022-09-02,261.69,264.74,254.47,256.06,13027712
2022-09-06,256.16,257.83,251.94,253.25,12812767
2022-09-07,254.7,258.83,253.22,258.09,12320546
2022-09-08,257.51,260.43,254.79,258.52,11220963
2022-09-09,260.32,265.23,260.29,264.46,12422957
2022-09-12,265.78,267.45,265.16,266.65,9015477
2022-09-13,258.99,260.4,251.59,251.99,16838311
2022-09-14,253.51,254.23,249.92,252.22,13113842
2022-09-15,249.75,251.4,244.02,245.38,18862841
2022-09-16,244.25,245.3,242.06,244.74,24690350
2022-09-19,242.48,245.14,240.85,244.52,16380056
2022-09-20,242.05,243.51,239.64,242.45,16632500
2022-09-21,244.37,247.66,238.9,238.95,18359288
2022-09-22,238.18,243.86,237.57,240.98,20436874
2022-09-23,239.51,241.13,235.2,237.92,20274469
2022-09-26,237.04,241.45,236.9,237.45,16087093
2022-09-27,239.98,241.8,234.5,236.41,17419380
2022-09-28,236.73,242.33,234.73,241.07,17884757
2022-09-29,239.15,239.95,234.41,237.5,17370738
2022-09-30,238.3,240.54,232.73,232.9,19864872
