date,open,high,low,close,volume
2022-08-25,115.15,117.78,115.05,117.7,10160922
2022-08-26,115.85,116.6,111.22,111.3,20249688
2022-08-29,110.72,111.96,109.81,110.34,13015886
2022-08-30,111.01,111.37,108.8,109.91,12854950
2022-08-31,111.63,111.77,109.05,109.15,13259751
2022-09-01,109.19,111.22,108.19,110.55,15427731
2022-09-02,111.33,111.68,108.13,108.68,13072832
2022-09-06,108.16,108.88,106.51,107.48,14014407
2022-09-07,107.79,110.99,107.61,110.48,14661171
2022-09-08,109.22,110.58,108.06,109.42,14138059
2022-09-09,110.09,112.0,110.0,111.78,14059090
2022-09-12,112.03,112.64,110.93,111.87,12347552
2022-09-13,108.91,109.37,105.0,105.31,21200494
2022-09-14,105.44,106.1,104.5,105.87,14692652
2022-09-15,104.96,106.21,103.31,103.9,16894160
2022-09-16,102.99,104.03,101.85,103.63,25965083
2022-09-19,102.54,104.02,102.37,103.85,13073076
2022-09-20,102.84,103.17,101.12,101.83,16598930
2022-09-21,102.29,103.49,99.99,100.01,19599048
2022-09-22,99.45,101.68,99.41,100.57,15113635
2022-09-23,100.09,100.11,98.01,99.17,17310280
2022-09-26,98.61,100.44,98.38,98.81,14788543
2022-09-27,99.91,100.46,97.34,98.09,16403015
2022-09-28,98.02,101.4,97.8,100.74,16315703
2022-09-29,99.29,99.3,96.52,98.09,14221840
2022-09-30,97.72,99.5,96.03,96.15,15056834
2022-10-03,97.22,99.97,97.02,99.3,15642368
2022-10-04,101.05,102.72,101.04,102.41,14822419
2022-10-05,100.74,102.74,99.74,102.22,13812987
2022-10-06,101.45,103.73,101.45,102.24,11968993
2022-10-07,100.66,101.42,99.21,99.57,16811600
2022-10-10,99.88,99.99,97.87,98.71,11914498
2022-10-11,98.32,100.12,97.25,98.05,15093842
2022-10-12,98.25,99.65,97.67,98.3,12246569
2022-10-13,95.93,100.53,95.27,99.71,21790355
2022-10-14,100.62,101.29,97.03,97.18,15117687
2022-10-17,99.48,101.77,99.48,100.78,15726225
2022-10-18,103.9,104.22,100.65,101.39,15371398
2022-10-19,100.69,101.66,99.63,100.29,14963342
2022-10-20,100.78,103.0,99.97,100.53,17866046
2022-10-21,98.46,101.62,98.23,101.48,20690766
2022-10-24,102.16,103.1,100.3,102.97,18101091
2022-10-25,103.3,105.1,103.02,104.93,17324965
2022-10-26,96.76,98.54,94.61,94.82,55023185
2022-10-27,94.32,95.17,91.9,92.6,38581129
2022-10-28,92.54,96.86,92.32,96.58,26446275
2022-10-31,95.83,96.35,94.38,94.66,18712318
2022-11-01,95.59,96.17,90.43,90.5,33544828
2022-11-02,90.97,91.3,87.01,87.07,32031297
2022-11-03,86.34,86.55,83.45,83.49,37382096
2022-11-04,85.46,86.73,83.88,86.7,29601618
2022-11-07,87.36,88.94,86.96,88.65,18014873
2022-11-08,89.2,90.41,87.65,88.91,21206401
2022-11-09,88.52,89.49,87.35,87.4,16753568
2022-11-10,92.3,94.55,91.65,94.17,27421652
